loja;Inicio;Fim;Meta;Ticket Médio;Google;P.A;Baú;Cabeceiras;Travesseiro;Protetores;desconto
03 - MOEMA ;01/04/2026;30/04/2026; R$ 120.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
04 - SANTANA ;01/04/2026;30/04/2026; R$ 200.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
05 - TATUAPE ;01/04/2026;30/04/2026; R$ 190.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
06 - IBIRAPUERA1 ;01/04/2026;30/04/2026; R$ 390.000,00 ; R$ 3.400,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
07 - PINHEIROS ;01/04/2026;30/04/2026; R$ 155.000,00 ; R$ 3.300,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
08 - INTERLAGOS ;01/04/2026;30/04/2026; R$ 200.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
09 - SANTO ANDRE ;01/04/2026;30/04/2026; R$ 615.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
10 - IMIRIM ;01/04/2026;30/04/2026; R$ 220.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
11 - OSASCO ;01/04/2026;30/04/2026; R$ 900.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
12 - CASA VERDE ;01/04/2026;30/04/2026; R$ 280.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
13 - CAMPINAS ;01/04/2026;30/04/2026; R$ 160.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
14 - MORUMBI ;01/04/2026;30/04/2026; R$ 400.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
16 - TIMOTEO ;01/04/2026;30/04/2026; R$ 200.000,00 ; R$ 2.900,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
17 - BERRINI ;01/04/2026;30/04/2026; R$ 150.000,00 ; R$ 3.250,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
18 - IPIRANGA ;01/04/2026;30/04/2026; R$ 600.000,00 ; R$ 3.400,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
20 - SANTOS ;01/04/2026;30/04/2026; R$ 150.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
21 - SAO MIGUEL ;01/04/2026;30/04/2026; R$ 450.000,00 ; R$ 2.900,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
22 - GUARULHOS2 ;01/04/2026;30/04/2026; R$ 360.000,00 ; R$ 3.300,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
23 - ITAQUERA ;01/04/2026;30/04/2026; R$ 490.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
24 - IBIRAPUERA2 ;01/04/2026;30/04/2026; R$ 240.000,00 ; R$ 3.400,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
25 - CIDADE DUTRA ;01/04/2026;30/04/2026; R$ 625.000,00 ; R$ 3.000,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
26 - BRIGADEIRO ;01/04/2026;30/04/2026; R$ 150.000,00 ; R$ 3.400,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
27 - SUMARE ;01/04/2026;30/04/2026; R$ 220.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
28 - PENHA ;01/04/2026;30/04/2026; R$ 250.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
29 - SAO BERNARDO ;01/04/2026;30/04/2026; R$ 320.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
31 - SAO MIGUEL2 ;01/04/2026;30/04/2026; R$ 290.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
32 - MOOCA ;01/04/2026;30/04/2026; R$ 160.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
33 - TABOAO ;01/04/2026;30/04/2026; R$ 310.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
34 - ITAQUA ;01/04/2026;30/04/2026; R$ 390.000,00 ; R$ 2.800,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
35 - PIRAJUSSARA ;01/04/2026;30/04/2026; R$ 400.000,00 ; R$ 2.800,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
36 - SALIM FARAH MALUF ;01/04/2026;30/04/2026; R$ 320.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
37 - CUPECE ;01/04/2026;30/04/2026; R$ 200.000,00 ; R$ 2.900,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
38 - INTERLAGOS2 ;01/04/2026;30/04/2026; R$ 710.000,00 ; R$ 3.200,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
39 - CAMPO LIMPO ;01/04/2026;30/04/2026; R$ 400.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
40 - MBOI MIRIM ;01/04/2026;30/04/2026; R$ 490.000,00 ; R$ 2.900,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
42 - CARAPICUIBA ;01/04/2026;30/04/2026; R$ 290.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
44 - GUAIANASES ;01/04/2026;30/04/2026; R$ 450.000,00 ; R$ 3.000,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
45 - BONSUCESSO ;01/04/2026;30/04/2026; R$ 280.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
47 - PIRITUBA ;01/04/2026;30/04/2026; R$ 500.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
48 - PIRITUBA2 ;01/04/2026;30/04/2026; R$ 350.000,00 ; R$ 2.900,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
49 - FRANCO DA ROCHA ;01/04/2026;30/04/2026; R$ 160.000,00 ; R$ 2.800,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
50 - BRASILANDIA ;01/04/2026;30/04/2026; R$ 170.000,00 ; R$ 2.500,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
51 - RAPOSO ;01/04/2026;30/04/2026; R$ 500.000,00 ; R$ 3.500,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
52 - SAUDE ;01/04/2026;30/04/2026; R$ 140.000,00 ; R$ 2.850,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
53 - DIADEMA ;01/04/2026;30/04/2026; R$ 170.000,00 ; R$ 2.750,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
54 - MAUA ;01/04/2026;30/04/2026; R$ 280.000,00 ; R$ 3.100,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
55 - JACANA ;01/04/2026;30/04/2026; R$ 330.000,00 ; R$ 3.050,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
56 - CAMPO LIMPO2 ;01/04/2026;30/04/2026; R$ 280.000,00 ; R$ 2.800,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
57 - RUDGE RAMOS ;01/04/2026;30/04/2026; R$ 190.000,00 ; R$ 2.800,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
58 - CRUZEIRO DO SUL ;01/04/2026;30/04/2026; R$ 150.000,00 ; R$ 3.400,00 ;60,0%;4,00;50,0%;15,0%;50,0%;50,0%;10,00%
